Feature,Importance
num__latitude,0.17697408476510518
num__longitude,0.13972460597629993
cat__event_cause_vehicle_breakdown,0.12605726138300188
num__day_of_week,0.07224421641407607
num__hour_of_day,0.05835368842562175
cat__police_station_J.P. Nagar,0.04265495363317061
cat__event_cause_road_conditions,0.021856988194964216
cat__police_station_Yeshwanthpura,0.020725350739856603
cat__event_cause_accident,0.020147512784160763
cat__event_cause_water_logging,0.018981719037266333
cat__event_cause_tree_fall,0.017478077586965488
cat__corridor_ORR East 1,0.017006391130351396
cat__event_cause_construction,0.016900242054593728
cat__event_cause_others,0.01539228645567327
cat__event_cause_pot_holes,0.01519844415467717
cat__police_station_Kodigehalli,0.013338156060545876
cat__police_station_Sheshadripuram,0.013145193512672463
cat__police_station_Bellandur,0.012585009032206409
cat__corridor_Tumkur Road,0.01215441646571503
num__has_severity_keyword,0.01053671288083559
num__requires_road_closure,0.010116252352668897
cat__police_station_Banaswadi,0.009602465569733421
cat__police_station_Halasur,0.009072801820716538
cat__police_station_Vijayanagara,0.008165637721517788
cat__police_station_Chamarajpet,0.008162789821113597
cat__police_station_Yelahanka,0.007936031436331743
cat__veh_type_unknown,0.007074138454511731
num__is_weekend,0.006963858278516601
cat__corridor_ORR North 1,0.006936695586786813
num__corridor_priority,0.005651788514611215
cat__corridor_Mysore Road,0.005195426339080665
cat__police_station_Peenya,0.004890041967036514
cat__police_station_Sadashivanagar,0.0045849838077456646
cat__police_station_Byatarayanapura,0.003914495562425923
cat__corridor_Non-corridor,0.0036583034508137157
cat__police_station_Jayanagara,0.003353147037350131
cat__police_station_Halasuru Gate,0.0031609514228706256
cat__police_station_Jeevanbheemanagar,0.0030418515923336005
cat__corridor_Hosur Road,0.0030333050286378374
cat__police_station_Kamakshipalya,0.0026570959382373823
cat__police_station_Basavanagudi,0.002547354554938672
cat__corridor_Bellary Road 2,0.0024878906045702432
cat__corridor_Bellary Road 1,0.0023440053645243978
cat__police_station_HSR Layout,0.002139612572001512
cat__event_type_planned,0.0020156491236742635
cat__police_station_Electronic City,0.0019406782807982455
cat__corridor_ORR East 2,0.0018990790793860985
cat__police_station_High ground,0.001854519939176048
cat__event_type_unplanned,0.001579981186173916
cat__corridor_Magadi Road,0.0015217678628920812
cat__police_station_Hennuru,0.0014471429996538835
cat__corridor_Hennur Main Road,0.0013926957271095204
cat__event_cause_congestion,0.0011668100437791048
cat__veh_type_lcv,0.0011225311509646691
cat__police_station_Chikkajala,0.0011105907896606878
cat__police_station_Jalahalli,0.0008975644161215223
cat__police_station_Madiwala,0.0008850269002914461
cat__police_station_Mahadevapura,0.0008752129158032288
cat__event_cause_procession,0.0008183425369454655
cat__police_station_Upparpet,0.0008008262294786231
cat__corridor_CBD 2,0.0007545170050866556
cat__police_station_Ashok Nagar,0.0007143662727036091
cat__police_station_Shivajinagar,0.0006783828638205687
cat__police_station_Hebbala,0.0006438247661250577
cat__police_station_K.R. Pura,0.00061892328743224
cat__police_station_HAL Old Airport,0.0005441248798082855
cat__police_station_Cubbon Park,0.0005047347389710457
cat__police_station_Wilson Garden,0.0004862720756889722
cat__event_cause_test_demo,0.00047879280914389904
cat__police_station_Magadi Road,0.0004595820211983784
cat__police_station_Jnanabharathi,0.0004551833524934576
cat__corridor_Old Madras Road,0.00041216759853131084
cat__corridor_West of Chord Road,0.0003977690225079258
cat__corridor_ORR North 2,0.0003302719373430138
cat__corridor_Old Airport Road,0.00032118377116362835
cat__corridor_ORR West 1,0.0002684367456004576
cat__corridor_Bannerghata Road,0.00024410460853684072
cat__veh_type_heavy_vehicle,0.00019963672689879864
cat__veh_type_private_car,0.00019407613638788076
cat__veh_type_bmtc_bus,0.00018494270837650327
cat__police_station_City Market,0.00018095554527711508
cat__corridor_Airport New South Road,0.00017343675993489435
cat__police_station_K.S. Layout,0.0001612829955160612
cat__corridor_Varthur Road,0.00012967413962731633
cat__police_station_Mico Layout,0.0001268244068053756
cat__police_station_K.G. Halli,0.00010324009579771811
cat__police_station_Malleshwaram,9.33894927603731e-05
cat__police_station_Banashankari,9.009319613922433e-05
cat__veh_type_truck,8.054576189449805e-05
cat__veh_type_taxi,8.04765428927394e-05
cat__police_station_Devanahalli Airport,7.435854950643997e-05
cat__corridor_IRR(Thanisandra road),6.884886071192995e-05
cat__veh_type_others,5.1473362486341135e-05
cat__veh_type_ksrtc_bus,4.503505379003138e-05
cat__veh_type_private_bus,4.262815289930689e-05
cat__police_station_Adugodi,3.394972153769083e-05
cat__police_station_Whitefield,3.174397801552597e-05
cat__veh_type_auto,2.6460038370294054e-05
cat__police_station_R.T. Nagar,2.5167130124429984e-05
cat__police_station_Hulimavu,1.0530064332279032e-05
cat__police_station_Kengeri,3.4020089758037054e-06
cat__police_station_Rajajinagar,5.361460424592755e-07
cat__corridor_CBD 1,0.0
cat__event_cause_protest,0.0
cat__police_station_Chikkabanavara,0.0
cat__police_station_Pulikeshinagar(F.Town),0.0
cat__police_station_V.V.Puram (C.Pet),0.0
cat__police_station_Thalagattapura,0.0
